Feature,Target_Correlation,Abs_Target_Correlation
Hyd,0.4408089004004592,0.4408089004004592
Center_Angle_deg,0.18684114705624824,0.18684114705624824
HCS4_HF_Mean_SD_PDB,0.17665481500513594,0.17665481500513594
HiF_HiMom_PDB,0.1457983785487635,0.1457983785487635
HMom_PDB,0.13886820799104774,0.13886820799104774
HCS3_HF_Mean_SD_PDB,-0.0998094946208447,0.0998094946208447
HCS3_HF_Mean_PDB,-0.06313071845395515,0.06313071845395515
HoF_HMom_PDB,0.05650421547352542,0.05650421547352542
HoF_HiF_Distance,0.03614571568973965,0.03614571568973965
