Rank,Feature,Mean_Importance,Mean_Rank
1,Hyd,0.9940498769283295,1.1666666666666667
2,HCS3_HF_Mean_PDB,0.33838573634154495,5.0
3,HCS3_HF_Mean_SD_PDB,0.25881185529996364,4.666666666666667
4,HiF_HiMom_PDB,0.21833910207209747,4.5
5,HCS4_HF_Mean_SD_PDB,0.17026873627277464,5.5
6,Center_Angle_deg,0.1646783215796385,4.083333333333333
7,HoF_HiF_Distance,0.15542363928841607,7.333333333333333
8,HoF_HMom_PDB,0.12328970052528365,6.5
9,HMom_PDB,0.11287953557120489,6.25
