Feature,Feature_ID,builtin_importance,mutual_info_importance,anova_importance,random_forest_importance,xgboost_importance,correlation_importance,Mean_Importance,Mean_Rank,builtin_rank,mutual_info_rank,anova_rank,random_forest_rank,xgboost_rank,correlation_rank
Hyd,1,24.607343646179757,0.17564172745168505,17.60584754315909,0.21888966043264,0.2215035,0.4408089004004592,0.9940498769283295,1.1666666666666667,1.0,1.0,1.0,1.0,2.0,1.0
HCS3_HF_Mean_PDB,7,8.85592995735244,0.12989294474252633,0.2921047756784384,0.09452860514040326,0.22845377,0.06313071845395515,0.33838573634154495,5.0,6.0,2.0,7.0,7.0,1.0,7.0
HCS3_HF_Mean_SD_PDB,8,10.143213622426188,0.0753194120971803,0.734538697722899,0.10285441124977263,0.14755458,0.0998094946208447,0.25881185529996364,4.666666666666667,4.0,5.0,6.0,4.0,3.0,6.0
HiF_HiMom_PDB,4,12.303839199389676,0.05671434556392696,1.585475931634167,0.10229722601675965,0.06612686,0.1457983785487635,0.21833910207209747,4.5,2.0,6.0,4.0,5.0,6.0,4.0
HCS4_HF_Mean_SD_PDB,6,8.564202487772748,0.01368722453680582,2.351488138339546,0.09088206978778972,0.091683485,0.17665481500513594,0.17026873627277464,5.5,7.0,7.0,3.0,8.0,5.0,3.0
Center_Angle_deg,5,10.681848928514063,0.0,2.6405835936350686,0.10880195971958727,0.04376225,0.18684114705624824,0.1646783215796385,4.083333333333333,3.0,8.5,2.0,2.0,7.0,2.0
HoF_HiF_Distance,9,7.054796865881607,0.0788753773426063,0.09550020391407109,0.07911822877456934,0.12789558,0.03614571568973965,0.15542363928841607,7.333333333333333,9.0,4.0,9.0,9.0,4.0,9.0
HoF_HMom_PDB,2,7.685737366765364,0.08309682393866558,0.23381553375781097,0.10322593209603143,0.033772714,0.05650421547352542,0.12328970052528365,6.5,8.0,3.0,8.0,3.0,9.0,8.0
HMom_PDB,3,10.10308792571815,0.0,1.4354412747655578,0.09940190678244668,0.039247256,0.13886820799104774,0.11287953557120489,6.25,5.0,8.5,5.0,6.0,8.0,5.0
