,mean,std,min,max,median,iqr_25,iqr_75,cv
accuracy,0.7760000000000001,0.09019485080153476,0.5333333333333333,0.9333333333333333,0.8,0.7333333333333333,0.8666666666666667,11.623047783702932
f1_macro,0.7391971598606745,0.10827708007495802,0.48863636363636365,0.9282296650717703,0.7619047619047619,0.6590909090909092,0.8500000000000001,14.647929666743623
f1_weighted,0.7698848504362031,0.09435913182156415,0.5460030165912519,0.934609250398724,0.7936507936507937,0.7121212121212122,0.8666666666666667,12.256265565961186
roc_auc,0.8052000000000001,0.11830874861987173,0.45999999999999996,0.98,0.8200000000000001,0.7599999999999999,0.895,14.693088502219537
precision_macro,0.7647712842712842,0.10564153048900461,0.5,0.9545454545454546,0.7777777777777777,0.7083333333333333,0.8500000000000001,13.81348027334285
recall_macro,0.7439999999999999,0.10613199329137282,0.5,0.95,0.75,0.65,0.8500000000000001,14.26505286174366
