Class,Threshold,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1 Score_Mean,F1 Score_Std
High,>3,0.8884848484848484,0.027799624099829598,0.9400000000000001,0.04898979485566354,0.9122943722943724,0.02035018845058504
Low,<=3,0.8800000000000001,0.09797958971132709,0.76,0.08000000000000003,0.8077777777777779,0.04494166314701483
