Rank,Feature,Mean_Abs_SHAP,Std,Contribution_Pct,Cumulative_Pct
1,Hyd,1.7523273389166178,0.7410787234603673,33.662933843002165,33.662933843002165
2,HMom_PDB,0.7623935889263794,0.8815711324029686,14.64589656075605,48.308830403758215
3,HiF_HiMom_PDB,0.6167310239388314,0.35271144044681724,11.84765836651011,60.156488770268325
4,HCS3_HF_Mean_PDB,0.5656866430630981,0.4748733065599111,10.867074671719864,71.02356344198819
5,HCS4_HF_Mean_SD_PDB,0.39058530837888095,0.31359375548669904,7.503305520608845,78.52686896259704
6,Center_Angle_deg,0.3678908313256491,0.36867277402820514,7.067335218326855,85.5942041809239
7,HCS3_HF_Mean_SD_PDB,0.26537983403935167,0.18548389077888897,5.098056509268829,90.69226069019273
8,HoF_HMom_PDB,0.24575400757995938,0.17175994428565483,4.721036255664145,95.41329694585687
9,HoF_HiF_Distance,0.23876127953530007,0.24934525019704418,4.586703054143128,100.0
