Feature,Importance
Hyd,24.607343646179757
HiF_HiMom_PDB,12.303839199389676
Center_Angle_deg,10.681848928514063
HCS3_HF_Mean_SD_PDB,10.143213622426188
HMom_PDB,10.10308792571815
HCS3_HF_Mean_PDB,8.85592995735244
HCS4_HF_Mean_SD_PDB,8.564202487772748
HoF_HMom_PDB,7.685737366765364
HoF_HiF_Distance,7.054796865881607
