Rank,Reduction_Method,Reduction_Description,Model,Model_Class,N_Components,Accuracy_Mean,Accuracy_Std,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,ROC_AUC,CV1,CV2,CV3,CV4,CV5
37,pca_5,PCA-5,KNN_5,KNeighborsClassifier,5,0.8,0.1116,0.7698,0.7969,0.7837,0.77,0.86,0.7333,0.7333,0.9333,0.6667,0.9333
38,selectkbest_f_classif_5,SelectKBest-f_classif-5,LGBM_tuned,LGBMClassifier,5,0.8,0.1333,0.7524,0.788,0.7806,0.75,0.796,0.7333,0.6,0.8,1.0,0.8667
39,pca_10,PCA-10,KNN_5,KNeighborsClassifier,10,0.8,0.1116,0.778,0.8011,0.782,0.78,0.85,0.7333,0.7333,0.9333,0.6667,0.9333
40,selectfrommodel_rf_5,SelectFromModel-RF-5,HistGB_default,HistGradientBoostingClassifier,5,0.8,0.073,0.7689,0.797,0.7845,0.76,0.828,0.8,0.7333,0.8,0.7333,0.9333
41,selectfrommodel_rf_5,SelectFromModel-RF-5,HistGB_tuned,HistGradientBoostingClassifier,5,0.8,0.073,0.7606,0.7923,0.8047,0.75,0.834,0.8,0.7333,0.8,0.7333,0.9333
42,pca_10,PCA-10,MLP_small,MLPClassifier,10,0.8,0.073,0.7666,0.7945,0.8017,0.77,0.84,0.8,0.7333,0.9333,0.7333,0.8
43,selectkbest_f_classif_5,SelectKBest-f_classif-5,LGBM_default,LGBMClassifier,5,0.8,0.1333,0.7524,0.788,0.7806,0.75,0.808,0.7333,0.6,0.8,1.0,0.8667
44,selectfrommodel_rf_5,SelectFromModel-RF-5,RF_tuned,RandomForestClassifier,5,0.8,0.0596,0.7686,0.796,0.7831,0.77,0.828,0.8,0.7333,0.8667,0.7333,0.8667
45,selectfrommodel_rf_10,SelectFromModel-RF-10,SVM_rbf,SVC,10,0.8,0.073,0.7503,0.7866,0.7991,0.75,0.892,0.7333,0.7333,0.9333,0.8,0.8
46,pca_10,PCA-10,CatBoost_default,CatBoostClassifier,10,0.7867,0.1147,0.7123,0.7599,0.7879,0.72,0.78,0.7333,0.6667,1.0,0.8,0.7333
47,pca_10,PCA-10,SVM_linear,SVC,10,0.7867,0.1424,0.7209,0.7651,0.7676,0.73,0.84,0.6667,0.6,0.8667,1.0,0.8
48,none,No Reduction,LDA_solver_lsqr,LinearDiscriminantAnalysis,14,0.7867,0.1655,0.7252,0.7682,0.7603,0.73,0.832,0.6,0.6,0.9333,1.0,0.8
49,pca_5,PCA-5,XGB_tuned,XGBClassifier,5,0.7867,0.0777,0.7333,0.7696,0.805,0.74,0.82,0.8,0.6667,0.8667,0.7333,0.8667
50,none,No Reduction,KNN_3,KNeighborsClassifier,14,0.7867,0.1293,0.7612,0.7837,0.7837,0.77,0.81,0.7333,0.7333,0.9333,0.6,0.9333
51,none,No Reduction,KNN_weighted,KNeighborsClassifier,14,0.7867,0.1293,0.7664,0.7887,0.7721,0.77,0.836,0.7333,0.7333,0.9333,0.6,0.9333
52,none,No Reduction,LR_l2,LogisticRegression,14,0.7867,0.1293,0.7003,0.7535,0.7799,0.71,0.852,0.6667,0.6667,0.8667,1.0,0.7333
53,selectkbest_f_classif_10,SelectKBest-f_classif-10,XGB_tuned,XGBClassifier,10,0.7867,0.0499,0.7598,0.7861,0.7744,0.76,0.828,0.8,0.7333,0.7333,0.8,0.8667
54,selectkbest_f_classif_5,SelectKBest-f_classif-5,HistGB_default,HistGradientBoostingClassifier,5,0.7867,0.1485,0.7266,0.7684,0.7406,0.73,0.768,0.7333,0.5333,0.8,0.9333,0.9333
55,pca_10,PCA-10,KNN_weighted,KNeighborsClassifier,10,0.7867,0.1293,0.7664,0.7887,0.7721,0.77,0.836,0.7333,0.7333,0.9333,0.6,0.9333
56,pca_10,PCA-10,LR_l2,LogisticRegression,10,0.7867,0.1293,0.7026,0.7542,0.7813,0.72,0.836,0.6667,0.6667,0.8667,1.0,0.7333
57,pca_10,PCA-10,KNN_3,KNeighborsClassifier,10,0.7867,0.1293,0.7612,0.7837,0.7837,0.77,0.812,0.7333,0.7333,0.9333,0.6,0.9333
58,selectfrommodel_rf_10,SelectFromModel-RF-10,XGB_default,XGBClassifier,10,0.7867,0.0653,0.7604,0.7861,0.779,0.76,0.84,0.8,0.8,0.8,0.6667,0.8667
59,selectfrommodel_rf_10,SelectFromModel-RF-10,LR_l2,LogisticRegression,10,0.7867,0.1293,0.7003,0.7535,0.7799,0.71,0.848,0.6667,0.6667,0.8667,1.0,0.7333
60,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,LR_default,LogisticRegression,10,0.7867,0.1293,0.7141,0.7613,0.7834,0.72,0.844,0.6667,0.6667,0.8667,1.0,0.7333
61,selectfrommodel_rf_5,SelectFromModel-RF-5,SVM_linear,SVC,5,0.7867,0.1543,0.7084,0.758,0.7219,0.72,0.836,0.6,0.6,0.8667,0.9333,0.9333
62,selectfrommodel_xgb_5,SelectFromModel-XGB-5,KNN_5,KNeighborsClassifier,5,0.7867,0.0267,0.7317,0.7683,0.8302,0.75,0.808,0.7333,0.8,0.8,0.8,0.8
63,selectfrommodel_xgb_10,SelectFromModel-XGB-10,KNN_5,KNeighborsClassifier,10,0.7867,0.0267,0.7317,0.7683,0.8302,0.75,0.808,0.7333,0.8,0.8,0.8,0.8
64,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,GB_default,GradientBoostingClassifier,10,0.7867,0.0499,0.7598,0.7861,0.7744,0.76,0.804,0.8,0.7333,0.8,0.7333,0.8667
65,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,KNN_weighted,KNeighborsClassifier,10,0.7867,0.0499,0.7509,0.7809,0.7884,0.75,0.784,0.8,0.7333,0.8667,0.7333,0.8
66,selectfrommodel_rf_10,SelectFromModel-RF-10,RF_tuned,RandomForestClassifier,10,0.7867,0.0777,0.7396,0.7748,0.774,0.74,0.86,0.8,0.6667,0.8667,0.7333,0.8667
67,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,XGB_default,XGBClassifier,10,0.7867,0.098,0.7624,0.7871,0.7789,0.76,0.832,0.6667,0.8667,0.8667,0.6667,0.8667
68,selectfrommodel_xgb_5,SelectFromModel-XGB-5,CatBoost_tuned,CatBoostClassifier,5,0.7867,0.0777,0.7483,0.7803,0.7796,0.74,0.816,0.7333,0.8,0.8667,0.6667,0.8667
69,selectfrommodel_xgb_5,SelectFromModel-XGB-5,XGB_tuned,XGBClassifier,5,0.7867,0.1067,0.7559,0.7845,0.7733,0.75,0.868,0.6,0.8667,0.8667,0.7333,0.8667
70,selectfrommodel_xgb_10,SelectFromModel-XGB-10,XGB_tuned,XGBClassifier,10,0.7867,0.1067,0.7559,0.7845,0.7733,0.75,0.868,0.6,0.8667,0.8667,0.7333,0.8667
71,none,No Reduction,RF_tuned,RandomForestClassifier,14,0.7867,0.0653,0.7303,0.7703,0.7785,0.73,0.872,0.8,0.6667,0.8667,0.8,0.8
72,selectfrommodel_xgb_10,SelectFromModel-XGB-10,CatBoost_tuned,CatBoostClassifier,10,0.7867,0.0777,0.7483,0.7803,0.7796,0.74,0.816,0.7333,0.8,0.8667,0.6667,0.8667
73,selectfrommodel_rf_10,SelectFromModel-RF-10,LDA_solver_lsqr,LinearDiscriminantAnalysis,10,0.7867,0.1655,0.7252,0.7682,0.7603,0.73,0.844,0.6,0.6,0.9333,1.0,0.8
74,none,No Reduction,XGB_default,XGBClassifier,14,0.7867,0.0653,0.7604,0.786,0.778,0.76,0.844,0.7333,0.7333,0.8667,0.7333,0.8667
75,selectkbest_f_classif_10,SelectKBest-f_classif-10,MLP_medium,MLPClassifier,10,0.7867,0.0777,0.7529,0.7828,0.7681,0.75,0.84,0.7333,0.7333,0.9333,0.8,0.7333
76,none,No Reduction,HistGB_default,HistGradientBoostingClassifier,14,0.7867,0.0777,0.7524,0.7824,0.7913,0.74,0.796,0.6667,0.7333,0.8667,0.8,0.8667
77,none,No Reduction,SVM_rbf,SVC,14,0.7867,0.1293,0.716,0.7626,0.7873,0.72,0.88,0.7333,0.6,0.9333,0.9333,0.7333
78,pca_10,PCA-10,LDA_solver_lsqr,LinearDiscriminantAnalysis,10,0.7733,0.1373,0.6927,0.7443,0.7291,0.71,0.844,0.6667,0.6667,0.8667,1.0,0.6667
79,pca_10,PCA-10,LR_l1,LogisticRegression,10,0.7733,0.1436,0.6912,0.7437,0.7607,0.7,0.828,0.6667,0.6,0.8667,1.0,0.7333
80,pca_10,PCA-10,LR_default,LogisticRegression,10,0.7733,0.1436,0.6934,0.7444,0.7621,0.71,0.836,0.6667,0.6,0.8667,1.0,0.7333
81,selectfrommodel_rf_10,SelectFromModel-RF-10,LGBM_default,LGBMClassifier,10,0.7733,0.068,0.7138,0.7561,0.775,0.71,0.812,0.6667,0.7333,0.8667,0.8,0.8
82,selectfrommodel_rf_10,SelectFromModel-RF-10,LR_default,LogisticRegression,10,0.7733,0.1436,0.6912,0.7437,0.7607,0.7,0.844,0.6,0.6667,0.8667,1.0,0.7333
83,selectfrommodel_rf_10,SelectFromModel-RF-10,HistGB_tuned,HistGradientBoostingClassifier,10,0.7733,0.0998,0.7454,0.7721,0.7801,0.74,0.794,0.6,0.7333,0.8667,0.8,0.8667
84,selectfrommodel_rf_10,SelectFromModel-RF-10,RF_default,RandomForestClassifier,10,0.7733,0.0904,0.7272,0.7618,0.7651,0.73,0.858,0.8,0.6667,0.8667,0.6667,0.8667
85,selectfrommodel_rf_10,SelectFromModel-RF-10,HistGB_default,HistGradientBoostingClassifier,10,0.7733,0.08,0.74,0.7704,0.7744,0.73,0.794,0.6667,0.7333,0.8667,0.7333,0.8667
86,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,LDA_default,LinearDiscriminantAnalysis,10,0.7733,0.1236,0.7166,0.7585,0.7606,0.71,0.844,0.6,0.6667,0.8667,0.9333,0.8
87,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,LDA_solver_svd,LinearDiscriminantAnalysis,10,0.7733,0.1236,0.7166,0.7585,0.7606,0.71,0.844,0.6,0.6667,0.8667,0.9333,0.8
88,selectkbest_f_classif_10,SelectKBest-f_classif-10,CatBoost_tuned,CatBoostClassifier,10,0.7733,0.068,0.7265,0.7623,0.7596,0.73,0.86,0.8,0.6667,0.8,0.7333,0.8667
89,selectkbest_f_classif_10,SelectKBest-f_classif-10,MLP_small,MLPClassifier,10,0.7733,0.1236,0.73,0.7656,0.7427,0.73,0.872,0.6667,0.6667,1.0,0.8,0.7333
90,selectkbest_f_classif_10,SelectKBest-f_classif-10,SVM_linear,SVC,10,0.7733,0.1236,0.73,0.7656,0.7427,0.73,0.848,0.6667,0.6667,0.8,1.0,0.7333
91,selectkbest_f_classif_10,SelectKBest-f_classif-10,KNN_3,KNeighborsClassifier,10,0.7733,0.068,0.7469,0.7726,0.7594,0.75,0.806,0.8,0.8,0.8667,0.6667,0.7333
92,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,Ridge_alpha1,RidgeClassifier,10,0.7733,0.1373,0.7033,0.7507,0.776,0.7,0.856,0.6,0.6667,0.9333,0.9333,0.7333
93,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,Ridge_default,RidgeClassifier,10,0.7733,0.1373,0.7033,0.7507,0.776,0.7,0.856,0.6,0.6667,0.9333,0.9333,0.7333
94,selectfrommodel_xgb_10,SelectFromModel-XGB-10,SVM_rbf,SVC,10,0.7733,0.0327,0.7019,0.7472,0.8177,0.72,0.876,0.7333,0.8,0.8,0.8,0.7333
95,selectfrommodel_xgb_5,SelectFromModel-XGB-5,SVM_rbf,SVC,5,0.7733,0.0327,0.7019,0.7472,0.8177,0.72,0.876,0.7333,0.8,0.8,0.8,0.7333
96,selectfrommodel_rf_10,SelectFromModel-RF-10,MLP_small,MLPClassifier,10,0.7733,0.0904,0.7212,0.7602,0.7398,0.73,0.856,0.7333,0.7333,0.9333,0.8,0.6667
97,selectkbest_f_classif_10,SelectKBest-f_classif-10,LGBM_tuned,LGBMClassifier,10,0.7733,0.1083,0.7302,0.7609,0.7835,0.74,0.776,0.6667,0.7333,0.9333,0.6667,0.8667
98,pca_5,PCA-5,SVM_rbf,SVC,5,0.7733,0.1083,0.6882,0.7411,0.7647,0.71,0.852,0.6667,0.6667,0.9333,0.8667,0.7333
99,selectkbest_f_classif_10,SelectKBest-f_classif-10,XGB_default,XGBClassifier,10,0.7733,0.0533,0.7473,0.7735,0.7635,0.75,0.804,0.8,0.7333,0.7333,0.7333,0.8667
100,selectkbest_f_classif_5,SelectKBest-f_classif-5,MLP_small,MLPClassifier,5,0.7733,0.0998,0.7159,0.7575,0.76,0.72,0.86,0.7333,0.6,0.8667,0.8667,0.8
101,selectkbest_f_classif_10,SelectKBest-f_classif-10,HistGB_default,HistGradientBoostingClassifier,10,0.7733,0.08,0.7441,0.7725,0.7611,0.74,0.818,0.6667,0.7333,0.8667,0.7333,0.8667
102,selectkbest_f_classif_5,SelectKBest-f_classif-5,LR_l2,LogisticRegression,5,0.7733,0.1373,0.6928,0.7451,0.7731,0.69,0.856,0.6667,0.6,0.8,1.0,0.8
103,pca_10,PCA-10,RF_extratrees,ExtraTreesClassifier,10,0.7733,0.08,0.7059,0.7518,0.7781,0.71,0.812,0.7333,0.7333,0.9333,0.7333,0.7333
104,pca_10,PCA-10,RF_tuned,RandomForestClassifier,10,0.7733,0.1162,0.7085,0.7528,0.7825,0.71,0.774,0.7333,0.7333,1.0,0.6667,0.7333
105,pca_10,PCA-10,RF_default,RandomForestClassifier,10,0.7733,0.1162,0.7085,0.7528,0.7825,0.71,0.792,0.7333,0.7333,1.0,0.6667,0.7333
106,none,No Reduction,CatBoost_tuned,CatBoostClassifier,14,0.7733,0.1236,0.7473,0.7687,0.787,0.75,0.832,0.8,0.8,0.8667,0.5333,0.8667
107,none,No Reduction,SVM_linear,SVC,14,0.7733,0.1083,0.7162,0.7578,0.7575,0.72,0.852,0.7333,0.6,0.8,0.9333,0.8
108,none,No Reduction,LR_default,LogisticRegression,14,0.7733,0.1236,0.6873,0.7409,0.7654,0.7,0.856,0.6667,0.6667,0.8,1.0,0.7333
109,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,CatBoost_tuned,CatBoostClassifier,10,0.7733,0.068,0.7271,0.764,0.7665,0.72,0.824,0.7333,0.6667,0.8,0.8667,0.8
110,selectkbest_f_classif_10,SelectKBest-f_classif-10,LR_default,LogisticRegression,10,0.76,0.1611,0.6782,0.7319,0.6924,0.69,0.844,0.5333,0.7333,0.8667,1.0,0.6667
111,selectkbest_f_classif_10,SelectKBest-f_classif-10,LR_l1,LogisticRegression,10,0.76,0.1611,0.6769,0.7306,0.7257,0.69,0.848,0.5333,0.6667,0.8667,1.0,0.7333
112,selectkbest_f_classif_10,SelectKBest-f_classif-10,LR_l2,LogisticRegression,10,0.76,0.1611,0.6631,0.7228,0.7222,0.68,0.84,0.5333,0.6667,0.8667,1.0,0.7333
113,none,No Reduction,SVM_rbf_tuned,SVC,14,0.76,0.0904,0.7283,0.7549,0.7729,0.74,0.792,0.8,0.7333,0.8667,0.6,0.8
114,none,No Reduction,LR_l1,LogisticRegression,14,0.76,0.1718,0.6814,0.7338,0.7085,0.69,0.844,0.5333,0.6,0.8667,1.0,0.8
115,none,No Reduction,LDA_default,LinearDiscriminantAnalysis,14,0.76,0.1236,0.7058,0.7475,0.7177,0.71,0.808,0.6667,0.6,0.8667,0.9333,0.7333
116,none,No Reduction,LDA_solver_svd,LinearDiscriminantAnalysis,14,0.76,0.1236,0.7058,0.7475,0.7177,0.71,0.808,0.6667,0.6,0.8667,0.9333,0.7333
117,none,No Reduction,KNN_7,KNeighborsClassifier,14,0.76,0.0998,0.7242,0.755,0.7487,0.73,0.844,0.6667,0.6667,0.8,0.7333,0.9333
118,selectkbest_f_classif_10,SelectKBest-f_classif-10,GB_tuned,GradientBoostingClassifier,10,0.76,0.0904,0.7407,0.7629,0.7513,0.75,0.784,0.9333,0.6667,0.7333,0.7333,0.7333
119,pca_5,PCA-5,CatBoost_default,CatBoostClassifier,5,0.76,0.1083,0.681,0.7315,0.7109,0.7,0.836,0.7333,0.6,0.9333,0.7333,0.8
120,pca_5,PCA-5,SVM_linear,SVC,5,0.76,0.08,0.7171,0.7483,0.7543,0.74,0.804,0.8,0.6667,0.8667,0.6667,0.8
121,selectkbest_f_classif_10,SelectKBest-f_classif-10,RF_tuned,RandomForestClassifier,10,0.76,0.1083,0.7181,0.7521,0.7459,0.72,0.836,0.8,0.6,0.8667,0.6667,0.8667
122,selectkbest_f_classif_10,SelectKBest-f_classif-10,RF_default,RandomForestClassifier,10,0.76,0.1083,0.7181,0.7521,0.7459,0.72,0.84,0.8,0.6,0.8667,0.6667,0.8667
123,pca_5,PCA-5,GB_tuned,GradientBoostingClassifier,5,0.76,0.1436,0.7049,0.7447,0.7368,0.71,0.766,0.6,0.6667,0.9333,0.6667,0.9333
124,pca_5,PCA-5,RF_extratrees,ExtraTreesClassifier,5,0.76,0.1236,0.7012,0.7421,0.7715,0.71,0.772,0.6667,0.7333,1.0,0.6667,0.7333
125,none,No Reduction,MLP_small,MLPClassifier,14,0.76,0.1162,0.7118,0.7498,0.7249,0.72,0.812,0.8,0.6,0.9333,0.8,0.6667
126,pca_10,PCA-10,CatBoost_tuned,CatBoostClassifier,10,0.76,0.0904,0.6942,0.7397,0.7659,0.7,0.708,0.7333,0.7333,0.9333,0.6667,0.7333
127,selectkbest_f_classif_5,SelectKBest-f_classif-5,LR_default,LogisticRegression,5,0.76,0.1162,0.6784,0.732,0.7564,0.68,0.852,0.6667,0.6,0.8,0.9333,0.8
128,pca_5,PCA-5,KNN_weighted,KNeighborsClassifier,5,0.76,0.1373,0.7284,0.7564,0.7573,0.73,0.836,0.7333,0.7333,0.9333,0.5333,0.8667
