Rank,Reduction_Method,Reduction_Description,Model,Model_Class,N_Components,Accuracy_Mean,Accuracy_Std,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,ROC_AUC,CV1,CV2,CV3,CV4,CV5
146,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,KNN_3,KNeighborsClassifier,10,0.76,0.068,0.711,0.7492,0.756,0.71,0.762,0.7333,0.6667,0.8667,0.7333,0.8
147,selectfrommodel_rf_10,SelectFromModel-RF-10,MLP_medium,MLPClassifier,10,0.76,0.0904,0.7225,0.7554,0.7324,0.73,0.792,0.6667,0.7333,0.9333,0.7333,0.7333
148,selectfrommodel_rf_10,SelectFromModel-RF-10,QDA_reg,QuadraticDiscriminantAnalysis,10,0.76,0.0327,0.707,0.7446,0.7781,0.73,0.808,0.7333,0.7333,0.8,0.8,0.7333
149,selectfrommodel_rf_10,SelectFromModel-RF-10,QDA_default,QuadraticDiscriminantAnalysis,10,0.76,0.0533,0.7052,0.7446,0.7692,0.72,0.792,0.7333,0.7333,0.8667,0.7333,0.7333
150,selectfrommodel_xgb_5,SelectFromModel-XGB-5,RF_tuned,RandomForestClassifier,5,0.76,0.0533,0.7135,0.7506,0.7587,0.71,0.852,0.7333,0.8,0.8,0.6667,0.8
151,selectfrommodel_xgb_5,SelectFromModel-XGB-5,RF_default,RandomForestClassifier,5,0.76,0.0533,0.7135,0.7506,0.7587,0.71,0.832,0.7333,0.8,0.8,0.6667,0.8
152,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,RF_extratrees,ExtraTreesClassifier,10,0.76,0.0533,0.7067,0.7467,0.7614,0.71,0.85,0.7333,0.7333,0.8667,0.7333,0.7333
153,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,RF_tuned,RandomForestClassifier,10,0.76,0.068,0.6991,0.7424,0.7677,0.7,0.86,0.8,0.7333,0.8667,0.6667,0.7333
154,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,MLP_medium,MLPClassifier,10,0.76,0.1083,0.7278,0.7575,0.7522,0.73,0.76,0.6667,0.8,0.8667,0.6,0.8667
155,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,LDA_solver_lsqr,LinearDiscriminantAnalysis,10,0.76,0.1083,0.6716,0.7277,0.7306,0.67,0.832,0.6,0.6667,0.8667,0.8667,0.8
156,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,LR_l1,LogisticRegression,10,0.76,0.1611,0.6728,0.7285,0.739,0.68,0.852,0.5333,0.6667,0.8667,1.0,0.7333
157,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,LR_l2,LogisticRegression,10,0.76,0.1555,0.6553,0.7182,0.719,0.67,0.844,0.6,0.6,0.8667,1.0,0.7333
158,selectfrommodel_rf_5,SelectFromModel-RF-5,CatBoost_tuned,CatBoostClassifier,5,0.76,0.1162,0.7338,0.7562,0.7605,0.74,0.772,0.8,0.8,0.8667,0.5333,0.8
159,selectfrommodel_rf_5,SelectFromModel-RF-5,XGB_tuned,XGBClassifier,5,0.76,0.0533,0.707,0.746,0.7794,0.71,0.836,0.7333,0.7333,0.7333,0.7333,0.8667
160,selectfrommodel_rf_10,SelectFromModel-RF-10,SVM_linear,SVC,10,0.76,0.0904,0.7028,0.7449,0.7456,0.71,0.864,0.7333,0.6,0.8,0.8667,0.8
161,selectfrommodel_rf_5,SelectFromModel-RF-5,GB_default,GradientBoostingClassifier,5,0.76,0.0904,0.7078,0.7473,0.7399,0.71,0.822,0.6667,0.6667,0.8667,0.7333,0.8667
162,selectfrommodel_rf_5,SelectFromModel-RF-5,DT_default,DecisionTreeClassifier,5,0.76,0.068,0.7157,0.7492,0.7727,0.73,0.73,0.8,0.6667,0.8667,0.7333,0.7333
163,selectfrommodel_rf_5,SelectFromModel-RF-5,QDA_reg,QuadraticDiscriminantAnalysis,5,0.76,0.068,0.7158,0.7512,0.74,0.73,0.812,0.6667,0.7333,0.8667,0.8,0.7333
164,selectfrommodel_rf_5,SelectFromModel-RF-5,LR_l2,LogisticRegression,5,0.76,0.1373,0.6684,0.7258,0.7079,0.68,0.832,0.6,0.6,0.8667,0.9333,0.8
165,selectfrommodel_rf_5,SelectFromModel-RF-5,LR_default,LogisticRegression,5,0.76,0.1611,0.6814,0.733,0.7029,0.69,0.832,0.6,0.5333,0.8667,0.9333,0.8667
166,selectfrommodel_rf_10,SelectFromModel-RF-10,GB_default,GradientBoostingClassifier,10,0.76,0.0327,0.7301,0.7588,0.7374,0.74,0.856,0.8,0.7333,0.8,0.7333,0.7333
167,selectfrommodel_rf_10,SelectFromModel-RF-10,RF_extratrees,ExtraTreesClassifier,10,0.76,0.068,0.703,0.743,0.7756,0.71,0.876,0.8,0.7333,0.8667,0.6667,0.7333
168,selectfrommodel_rf_5,SelectFromModel-RF-5,RF_extratrees,ExtraTreesClassifier,5,0.76,0.068,0.7142,0.7515,0.7379,0.71,0.84,0.7333,0.8,0.8667,0.6667,0.7333
169,pca_10,PCA-10,LDA_default,LinearDiscriminantAnalysis,10,0.76,0.1555,0.6995,0.7438,0.7131,0.71,0.808,0.6,0.6,0.8667,1.0,0.7333
170,pca_10,PCA-10,LDA_solver_svd,LinearDiscriminantAnalysis,10,0.76,0.1555,0.6995,0.7438,0.7131,0.71,0.808,0.6,0.6,0.8667,1.0,0.7333
171,pca_10,PCA-10,KNN_7,KNeighborsClassifier,10,0.76,0.0998,0.7242,0.755,0.7487,0.73,0.858,0.6667,0.6667,0.8,0.7333,0.9333
172,selectkbest_f_classif_5,SelectKBest-f_classif-5,CatBoost_default,CatBoostClassifier,5,0.76,0.0904,0.6982,0.7429,0.7468,0.7,0.86,0.7333,0.6,0.8,0.8667,0.8
173,selectkbest_f_classif_5,SelectKBest-f_classif-5,HistGB_tuned,HistGradientBoostingClassifier,5,0.76,0.1236,0.6942,0.7405,0.7121,0.7,0.758,0.7333,0.5333,0.8,0.8667,0.8667
174,selectfrommodel_rf_5,SelectFromModel-RF-5,QDA_default,QuadraticDiscriminantAnalysis,5,0.7467,0.0653,0.7029,0.7378,0.733,0.72,0.8,0.6667,0.7333,0.8667,0.7333,0.7333
175,selectfrommodel_rf_5,SelectFromModel-RF-5,LDA_solver_svd,LinearDiscriminantAnalysis,5,0.7467,0.098,0.6738,0.7234,0.742,0.68,0.836,0.6667,0.6,0.8,0.8,0.8667
176,selectfrommodel_rf_5,SelectFromModel-RF-5,LDA_default,LinearDiscriminantAnalysis,5,0.7467,0.098,0.6738,0.7234,0.742,0.68,0.836,0.6667,0.6,0.8,0.8,0.8667
177,selectfrommodel_rf_5,SelectFromModel-RF-5,LR_l1,LogisticRegression,5,0.7467,0.1543,0.6595,0.7159,0.6965,0.67,0.832,0.6,0.5333,0.8667,0.9333,0.8
178,pca_10,PCA-10,MLP_medium,MLPClassifier,10,0.7467,0.0884,0.7078,0.7386,0.7578,0.72,0.8,0.7333,0.7333,0.8667,0.6,0.8
179,selectfrommodel_rf_5,SelectFromModel-RF-5,LDA_solver_lsqr,LinearDiscriminantAnalysis,5,0.7467,0.1147,0.6593,0.716,0.7308,0.67,0.848,0.6667,0.6,0.8,0.9333,0.7333
180,selectfrommodel_rf_10,SelectFromModel-RF-10,GB_tuned,GradientBoostingClassifier,10,0.7467,0.0777,0.7151,0.7451,0.7253,0.72,0.768,0.8667,0.6667,0.6667,0.8,0.7333
181,selectfrommodel_rf_10,SelectFromModel-RF-10,Ridge_default,RidgeClassifier,10,0.7467,0.136,0.6814,0.7293,0.7026,0.68,0.856,0.6,0.6,0.8667,0.9333,0.7333
182,selectfrommodel_rf_10,SelectFromModel-RF-10,LDA_solver_svd,LinearDiscriminantAnalysis,10,0.7467,0.136,0.6814,0.7293,0.7026,0.68,0.86,0.6,0.6,0.8667,0.9333,0.7333
183,selectfrommodel_xgb_5,SelectFromModel-XGB-5,GB_default,GradientBoostingClassifier,5,0.7467,0.1067,0.6949,0.7346,0.7492,0.7,0.778,0.6,0.8667,0.8667,0.6667,0.7333
184,selectfrommodel_xgb_5,SelectFromModel-XGB-5,LGBM_tuned,LGBMClassifier,5,0.7467,0.098,0.6963,0.7349,0.7395,0.7,0.844,0.6,0.8,0.8667,0.6667,0.8
185,selectfrommodel_xgb_5,SelectFromModel-XGB-5,CatBoost_default,CatBoostClassifier,5,0.7467,0.0499,0.6816,0.7262,0.7502,0.69,0.86,0.7333,0.6667,0.8,0.7333,0.8
186,selectfrommodel_xgb_5,SelectFromModel-XGB-5,LR_l1,LogisticRegression,5,0.7467,0.1543,0.6614,0.7179,0.7127,0.66,0.852,0.5333,0.6,0.8667,0.9333,0.8
187,selectfrommodel_xgb_5,SelectFromModel-XGB-5,MLP_small,MLPClassifier,5,0.7467,0.0777,0.6884,0.7319,0.7106,0.7,0.796,0.6667,0.6667,0.8667,0.8,0.7333
188,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,DT_entropy,DecisionTreeClassifier,10,0.7467,0.0499,0.6988,0.7361,0.7503,0.71,0.71,0.6667,0.8,0.8,0.7333,0.7333
189,selectfrommodel_xgb_5,SelectFromModel-XGB-5,LR_default,LogisticRegression,5,0.7467,0.1424,0.6639,0.7188,0.6758,0.68,0.832,0.5333,0.6667,0.8667,0.9333,0.7333
190,selectfrommodel_xgb_5,SelectFromModel-XGB-5,KNN_weighted,KNeighborsClassifier,5,0.7467,0.0777,0.7071,0.7337,0.8018,0.73,0.826,0.8,0.7333,0.8,0.6,0.8
191,selectfrommodel_xgb_5,SelectFromModel-XGB-5,LR_l2,LogisticRegression,5,0.7467,0.1543,0.6454,0.7082,0.709,0.66,0.84,0.5333,0.6667,0.8,1.0,0.7333
192,selectfrommodel_xgb_5,SelectFromModel-XGB-5,LDA_solver_lsqr,LinearDiscriminantAnalysis,5,0.7467,0.098,0.6738,0.7234,0.742,0.68,0.84,0.6,0.6667,0.8667,0.8,0.8
193,selectfrommodel_xgb_5,SelectFromModel-XGB-5,LDA_solver_svd,LinearDiscriminantAnalysis,5,0.7467,0.1147,0.6798,0.7268,0.7143,0.69,0.816,0.6,0.6667,0.9333,0.8,0.7333
194,selectfrommodel_xgb_5,SelectFromModel-XGB-5,LDA_default,LinearDiscriminantAnalysis,5,0.7467,0.1147,0.6798,0.7268,0.7143,0.69,0.816,0.6,0.6667,0.9333,0.8,0.7333
195,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,MLP_small,MLPClassifier,10,0.7467,0.0777,0.697,0.7364,0.7405,0.7,0.808,0.7333,0.6667,0.8667,0.6667,0.8
196,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,SVM_rbf,SVC,10,0.7467,0.098,0.6497,0.7105,0.7242,0.65,0.848,0.6,0.6667,0.8,0.8667,0.8
197,selectfrommodel_rf_10,SelectFromModel-RF-10,LR_l1,LogisticRegression,10,0.7467,0.1857,0.6726,0.7238,0.6971,0.68,0.852,0.5333,0.5333,0.8667,1.0,0.8
198,selectfrommodel_rf_10,SelectFromModel-RF-10,LDA_default,LinearDiscriminantAnalysis,10,0.7467,0.136,0.6814,0.7293,0.7026,0.68,0.86,0.6,0.6,0.8667,0.9333,0.7333
199,selectfrommodel_rf_5,SelectFromModel-RF-5,LGBM_default,LGBMClassifier,5,0.7467,0.1424,0.7232,0.7479,0.7509,0.72,0.816,0.8667,0.6667,0.7333,0.5333,0.9333
200,selectfrommodel_rf_10,SelectFromModel-RF-10,LGBM_tuned,LGBMClassifier,10,0.7467,0.1147,0.6958,0.7364,0.7444,0.69,0.776,0.5333,0.7333,0.8667,0.8,0.8
201,selectfrommodel_xgb_5,SelectFromModel-XGB-5,DT_entropy,DecisionTreeClassifier,5,0.7467,0.0499,0.6906,0.7319,0.752,0.7,0.7,0.7333,0.8,0.8,0.6667,0.7333
202,selectfrommodel_rf_10,SelectFromModel-RF-10,Ridge_alpha1,RidgeClassifier,10,0.7467,0.136,0.6814,0.7293,0.7026,0.68,0.856,0.6,0.6,0.8667,0.9333,0.7333
203,selectfrommodel_rf_10,SelectFromModel-RF-10,SVM_rbf_tuned,SVC,10,0.7467,0.1147,0.7154,0.7402,0.7652,0.73,0.82,0.8,0.7333,0.8667,0.5333,0.8
204,selectfrommodel_rf_10,SelectFromModel-RF-10,KNN_7,KNeighborsClassifier,10,0.7467,0.1067,0.7124,0.743,0.7381,0.72,0.814,0.7333,0.6,0.7333,0.7333,0.9333
205,selectfrommodel_rf_5,SelectFromModel-RF-5,DT_entropy,DecisionTreeClassifier,5,0.7467,0.1067,0.7247,0.7486,0.7469,0.73,0.73,0.7333,0.6667,0.8667,0.6,0.8667
206,selectfrommodel_rf_5,SelectFromModel-RF-5,DT_pruned,DecisionTreeClassifier,5,0.7467,0.0499,0.7027,0.7367,0.7583,0.72,0.728,0.8,0.6667,0.8,0.7333,0.7333
207,selectfrommodel_xgb_10,SelectFromModel-XGB-10,LGBM_tuned,LGBMClassifier,10,0.7467,0.098,0.6963,0.7349,0.7395,0.7,0.844,0.6,0.8,0.8667,0.6667,0.8
208,selectfrommodel_xgb_10,SelectFromModel-XGB-10,CatBoost_default,CatBoostClassifier,10,0.7467,0.0499,0.6816,0.7262,0.7502,0.69,0.86,0.7333,0.6667,0.8,0.7333,0.8
209,selectfrommodel_xgb_10,SelectFromModel-XGB-10,GB_default,GradientBoostingClassifier,10,0.7467,0.1067,0.6949,0.7346,0.7492,0.7,0.778,0.6,0.8667,0.8667,0.6667,0.7333
210,selectfrommodel_xgb_10,SelectFromModel-XGB-10,DT_entropy,DecisionTreeClassifier,10,0.7467,0.0499,0.6906,0.7319,0.752,0.7,0.7,0.7333,0.8,0.8,0.6667,0.7333
211,none,No Reduction,Ridge_alpha1,RidgeClassifier,14,0.7467,0.136,0.6829,0.73,0.695,0.69,0.808,0.6,0.6,0.8667,0.9333,0.7333
212,pca_5,PCA-5,RF_tuned,RandomForestClassifier,5,0.7467,0.1067,0.6893,0.7307,0.7379,0.7,0.788,0.6667,0.6667,0.9333,0.6667,0.8
213,selectkbest_f_classif_5,SelectKBest-f_classif-5,Ridge_alpha1,RidgeClassifier,5,0.7467,0.1147,0.6495,0.7106,0.7585,0.65,0.808,0.6667,0.6,0.8,0.9333,0.7333
214,selectkbest_f_classif_5,SelectKBest-f_classif-5,Ridge_default,RidgeClassifier,5,0.7467,0.1147,0.6495,0.7106,0.7585,0.65,0.808,0.6667,0.6,0.8,0.9333,0.7333
215,selectkbest_f_classif_10,SelectKBest-f_classif-10,DT_entropy,DecisionTreeClassifier,10,0.7467,0.0777,0.7086,0.7426,0.729,0.71,0.71,0.8667,0.6667,0.8,0.7333,0.6667
216,selectkbest_f_classif_10,SelectKBest-f_classif-10,HistGB_tuned,HistGradientBoostingClassifier,10,0.7467,0.0777,0.7147,0.7458,0.7357,0.71,0.766,0.6667,0.7333,0.8,0.6667,0.8667
217,pca_5,PCA-5,KNN_3,KNeighborsClassifier,5,0.7467,0.1067,0.7089,0.7399,0.7344,0.72,0.812,0.7333,0.7333,0.9333,0.6,0.7333
218,pca_5,PCA-5,SVM_rbf_tuned,SVC,5,0.7467,0.0884,0.7009,0.7342,0.7675,0.72,0.872,0.8,0.7333,0.8667,0.6,0.7333
219,pca_5,PCA-5,CatBoost_tuned,CatBoostClassifier,5,0.7467,0.1067,0.7132,0.7447,0.7321,0.72,0.772,0.6,0.6667,0.8667,0.7333,0.8667
220,pca_10,PCA-10,HistGB_default,HistGradientBoostingClassifier,10,0.7467,0.1067,0.6654,0.7182,0.7035,0.69,0.75,0.6667,0.6667,0.8,0.9333,0.6667
221,selectkbest_f_classif_10,SelectKBest-f_classif-10,QDA_reg,QuadraticDiscriminantAnalysis,10,0.7467,0.0777,0.72,0.744,0.7628,0.74,0.836,0.7333,0.8,0.8,0.6,0.8
222,none,No Reduction,GB_default,GradientBoostingClassifier,14,0.7467,0.0777,0.7059,0.7393,0.7205,0.72,0.844,0.8667,0.6667,0.8,0.6667,0.7333
223,none,No Reduction,MLP_medium,MLPClassifier,14,0.7467,0.1147,0.7026,0.735,0.7671,0.72,0.8,0.8,0.6667,0.9333,0.6,0.7333
224,none,No Reduction,Ridge_default,RidgeClassifier,14,0.7467,0.136,0.6829,0.73,0.695,0.69,0.808,0.6,0.6,0.8667,0.9333,0.7333
225,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,RF_tuned,RandomForestClassifier,5,0.7467,0.0499,0.7055,0.74,0.7466,0.71,0.784,0.7333,0.6667,0.7333,0.8,0.8
226,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,DT_entropy,DecisionTreeClassifier,5,0.7467,0.0777,0.704,0.7372,0.7605,0.72,0.72,0.6667,0.8,0.6667,0.8667,0.7333
227,selectfrommodel_xgb_10,SelectFromModel-XGB-10,MLP_small,MLPClassifier,10,0.7467,0.0777,0.6884,0.7319,0.7106,0.7,0.796,0.6667,0.6667,0.8667,0.8,0.7333
228,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,XGB_tuned,XGBClassifier,5,0.7467,0.0653,0.6993,0.7361,0.7538,0.71,0.78,0.6667,0.7333,0.7333,0.8667,0.7333
229,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,LGBM_tuned,LGBMClassifier,5,0.7467,0.0777,0.6488,0.7095,0.7062,0.66,0.87,0.6,0.8,0.8,0.8,0.7333
230,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,CatBoost_tuned,CatBoostClassifier,5,0.7467,0.0653,0.6951,0.7324,0.7635,0.71,0.792,0.7333,0.7333,0.6667,0.8667,0.7333
231,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,HistGB_default,HistGradientBoostingClassifier,5,0.7467,0.0777,0.6471,0.7051,0.714,0.67,0.848,0.6667,0.8,0.6667,0.8667,0.7333
232,selectfrommodel_xgb_10,SelectFromModel-XGB-10,LDA_solver_lsqr,LinearDiscriminantAnalysis,10,0.7467,0.098,0.6738,0.7234,0.742,0.68,0.84,0.6,0.6667,0.8667,0.8,0.8
233,selectfrommodel_xgb_10,SelectFromModel-XGB-10,LDA_default,LinearDiscriminantAnalysis,10,0.7467,0.1147,0.6798,0.7268,0.7143,0.69,0.816,0.6,0.6667,0.9333,0.8,0.7333
234,selectfrommodel_xgb_10,SelectFromModel-XGB-10,LDA_solver_svd,LinearDiscriminantAnalysis,10,0.7467,0.1147,0.6798,0.7268,0.7143,0.69,0.816,0.6,0.6667,0.9333,0.8,0.7333
235,selectfrommodel_xgb_10,SelectFromModel-XGB-10,KNN_weighted,KNeighborsClassifier,10,0.7467,0.0777,0.7071,0.7337,0.8018,0.73,0.826,0.8,0.7333,0.8,0.6,0.8
236,selectkbest_f_classif_5,SelectKBest-f_classif-5,LDA_solver_lsqr,LinearDiscriminantAnalysis,5,0.7467,0.098,0.665,0.7192,0.7445,0.67,0.84,0.6667,0.6,0.8,0.8667,0.8
237,pca_10,PCA-10,Ridge_alpha1,RidgeClassifier,10,0.7467,0.16,0.6745,0.7247,0.6907,0.69,0.816,0.6,0.6,0.8667,1.0,0.6667
238,pca_10,PCA-10,HistGB_tuned,HistGradientBoostingClassifier,10,0.7467,0.0884,0.6526,0.7106,0.7044,0.68,0.764,0.7333,0.6,0.8667,0.8,0.7333
239,pca_10,PCA-10,SVM_rbf_tuned,SVC,10,0.7467,0.1147,0.7137,0.7427,0.7541,0.72,0.816,0.8,0.7333,0.8667,0.5333,0.8
240,pca_10,PCA-10,Ridge_default,RidgeClassifier,10,0.7467,0.16,0.6745,0.7247,0.6907,0.69,0.816,0.6,0.6,0.8667,1.0,0.6667
241,selectkbest_f_classif_5,SelectKBest-f_classif-5,LR_l1,LogisticRegression,5,0.7467,0.1147,0.6495,0.7106,0.7585,0.65,0.84,0.6667,0.6,0.8,0.9333,0.7333
242,pca_5,PCA-5,MLP_medium,MLPClassifier,5,0.7467,0.1067,0.7089,0.7399,0.7344,0.72,0.76,0.7333,0.7333,0.9333,0.6,0.7333
243,selectfrommodel_xgb_10,SelectFromModel-XGB-10,LR_l1,LogisticRegression,10,0.7467,0.1543,0.6614,0.7179,0.7127,0.66,0.852,0.5333,0.6,0.8667,0.9333,0.8
244,selectfrommodel_xgb_10,SelectFromModel-XGB-10,LR_default,LogisticRegression,10,0.7467,0.1424,0.6639,0.7188,0.6758,0.68,0.832,0.5333,0.6667,0.8667,0.9333,0.7333
245,selectfrommodel_xgb_10,SelectFromModel-XGB-10,LR_l2,LogisticRegression,10,0.7467,0.1543,0.6454,0.7082,0.709,0.66,0.84,0.5333,0.6667,0.8,1.0,0.7333
246,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,LDA_solver_lsqr,LinearDiscriminantAnalysis,5,0.7333,0.0596,0.5917,0.6715,0.7112,0.61,0.784,0.6667,0.7333,0.8,0.8,0.6667
247,selectfrommodel_rf_5,SelectFromModel-RF-5,CatBoost_default,CatBoostClassifier,5,0.7333,0.1193,0.6842,0.7187,0.7362,0.69,0.8,0.8,0.6667,0.8,0.5333,0.8667
248,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,KNN_7,KNeighborsClassifier,10,0.7333,0.073,0.6879,0.7233,0.7432,0.69,0.808,0.7333,0.7333,0.8,0.6,0.8
249,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,SVM_linear,SVC,5,0.7333,0.073,0.5965,0.6747,0.761,0.61,0.852,0.6,0.7333,0.8,0.8,0.7333
250,selectfrommodel_xgb_10,SelectFromModel-XGB-10,MLP_medium,MLPClassifier,10,0.7333,0.0843,0.6818,0.7202,0.747,0.7,0.764,0.7333,0.7333,0.8667,0.6,0.7333
251,selectkbest_f_classif_10,SelectKBest-f_classif-10,Ridge_alpha1,RidgeClassifier,10,0.7333,0.152,0.6532,0.7084,0.6641,0.66,0.824,0.5333,0.6,0.8667,0.9333,0.7333
252,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,MLP_small,MLPClassifier,5,0.7333,0.1116,0.6638,0.7136,0.7402,0.66,0.816,0.5333,0.7333,0.8,0.8667,0.7333
253,selectfrommodel_xgb_5,SelectFromModel-XGB-5,Ridge_alpha1,RidgeClassifier,5,0.7333,0.0943,0.6616,0.7118,0.7067,0.67,0.82,0.6,0.6667,0.8667,0.8,0.7333
254,selectfrommodel_xgb_5,SelectFromModel-XGB-5,MLP_medium,MLPClassifier,5,0.7333,0.0843,0.6818,0.7202,0.747,0.7,0.764,0.7333,0.7333,0.8667,0.6,0.7333
255,selectfrommodel_xgb_10,SelectFromModel-XGB-10,Ridge_alpha1,RidgeClassifier,10,0.7333,0.0943,0.6616,0.7118,0.7067,0.67,0.82,0.6,0.6667,0.8667,0.8,0.7333
256,selectfrommodel_xgb_10,SelectFromModel-XGB-10,Ridge_default,RidgeClassifier,10,0.7333,0.0943,0.6616,0.7118,0.7067,0.67,0.82,0.6,0.6667,0.8667,0.8,0.7333
257,selectkbest_f_classif_10,SelectKBest-f_classif-10,LDA_solver_svd,LinearDiscriminantAnalysis,10,0.7333,0.152,0.6532,0.7084,0.6641,0.66,0.82,0.5333,0.6,0.8667,0.9333,0.7333
258,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,DT_pruned,DecisionTreeClassifier,5,0.7333,0.0422,0.6817,0.7215,0.7407,0.69,0.738,0.7333,0.6667,0.7333,0.8,0.7333
259,pca_5,PCA-5,LR_l2,LogisticRegression,5,0.7333,0.0843,0.6376,0.6972,0.6798,0.66,0.792,0.6667,0.6,0.8,0.8,0.8
260,pca_5,PCA-5,LR_default,LogisticRegression,5,0.7333,0.0843,0.6421,0.6993,0.6785,0.67,0.804,0.6667,0.6,0.8,0.8,0.8
261,pca_5,PCA-5,LR_l1,LogisticRegression,5,0.7333,0.0843,0.6376,0.6972,0.6798,0.66,0.808,0.6667,0.6,0.8,0.8,0.8
262,selectkbest_f_classif_5,SelectKBest-f_classif-5,KNN_3,KNeighborsClassifier,5,0.7333,0.0943,0.677,0.7168,0.7386,0.69,0.71,0.7333,0.6,0.8667,0.6667,0.8
263,pca_10,PCA-10,DT_entropy,DecisionTreeClassifier,10,0.7333,0.152,0.6711,0.712,0.7734,0.68,0.68,0.8,0.7333,0.9333,0.4667,0.7333
264,selectkbest_f_classif_5,SelectKBest-f_classif-5,SVM_rbf_tuned,SVC,5,0.7333,0.1193,0.661,0.7119,0.7148,0.66,0.76,0.6667,0.6,0.9333,0.6667,0.8
265,pca_10,PCA-10,GB_default,GradientBoostingClassifier,10,0.7333,0.1687,0.6818,0.7202,0.7488,0.69,0.72,0.4667,0.7333,1.0,0.7333,0.7333
266,selectkbest_f_classif_5,SelectKBest-f_classif-5,LDA_solver_svd,LinearDiscriminantAnalysis,5,0.7333,0.0943,0.6353,0.6977,0.7376,0.64,0.804,0.6667,0.6,0.8,0.8667,0.7333
267,selectkbest_f_classif_10,SelectKBest-f_classif-10,DT_pruned,DecisionTreeClassifier,10,0.7333,0.0422,0.7134,0.7368,0.7218,0.73,0.728,0.7333,0.6667,0.7333,0.8,0.7333
268,selectkbest_mutual_info_5,SelectKBest-mutual_info-5,SVM_rbf_tuned,SVC,5,0.7333,0.073,0.6509,0.7064,0.7452,0.65,0.748,0.6,0.7333,0.8,0.8,0.7333
269,selectkbest_f_classif_10,SelectKBest-f_classif-10,LDA_solver_lsqr,LinearDiscriminantAnalysis,10,0.7333,0.1333,0.6447,0.7035,0.6702,0.65,0.824,0.5333,0.6667,0.8,0.9333,0.7333
270,none,No Reduction,DT_pruned,DecisionTreeClassifier,14,0.7333,0.0422,0.702,0.7335,0.7029,0.71,0.704,0.8,0.6667,0.7333,0.7333,0.7333
271,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,LGBM_tuned,LGBMClassifier,10,0.7333,0.1033,0.6674,0.7144,0.6955,0.68,0.828,0.5333,0.8,0.8,0.7333,0.8
272,selectkbest_mutual_info_10,SelectKBest-mutual_info-10,GB_tuned,GradientBoostingClassifier,10,0.7333,0.073,0.7113,0.7367,0.7282,0.72,0.748,0.7333,0.6667,0.7333,0.6667,0.8667
273,selectfrommodel_xgb_5,SelectFromModel-XGB-5,SVM_rbf_tuned,SVC,5,0.7333,0.0422,0.6692,0.7121,0.7487,0.7,0.812,0.6667,0.7333,0.8,0.7333,0.7333
274,selectfrommodel_xgb_5,SelectFromModel-XGB-5,Ridge_default,RidgeClassifier,5,0.7333,0.0943,0.6616,0.7118,0.7067,0.67,0.82,0.6,0.6667,0.8667,0.8,0.7333
275,pca_10,PCA-10,LGBM_tuned,LGBMClassifier,10,0.7333,0.0943,0.6428,0.7007,0.6522,0.67,0.73,0.7333,0.6,0.8667,0.8,0.6667
276,pca_10,PCA-10,GB_tuned,GradientBoostingClassifier,10,0.7333,0.1398,0.7049,0.7343,0.7299,0.7,0.726,0.6,0.8667,0.9333,0.6,0.6667
277,pca_10,PCA-10,XGB_tuned,XGBClassifier,10,0.7333,0.0943,0.6597,0.7098,0.662,0.68,0.804,0.7333,0.6,0.8667,0.6667,0.8
278,pca_10,PCA-10,XGB_default,XGBClassifier,10,0.7333,0.0843,0.6553,0.7071,0.6637,0.68,0.8,0.7333,0.6,0.8667,0.7333,0.7333
279,selectkbest_f_classif_5,SelectKBest-f_classif-5,LDA_default,LinearDiscriminantAnalysis,5,0.7333,0.0943,0.6353,0.6977,0.7376,0.64,0.804,0.6667,0.6,0.8,0.8667,0.7333
280,selectkbest_f_classif_10,SelectKBest-f_classif-10,DT_default,DecisionTreeClassifier,10,0.7333,0.0422,0.7134,0.7368,0.7218,0.73,0.73,0.7333,0.6667,0.7333,0.8,0.7333
281,pca_5,PCA-5,GB_default,GradientBoostingClassifier,5,0.7333,0.1116,0.6849,0.7231,0.7183,0.69,0.78,0.6,0.6667,0.8667,0.6667,0.8667
